Title,Rating,Votes,Duration,Genre
Final Heat,3.8,213,83.0,sport
Numéro 10,5.4,51,91.0,sport
I am Al Ittihad,4.9,228,90.0,sport
Dabaru,8.9,648,131.0,sport
Rafa Márquez: El Capitán,6.6,192,82.0,sport
Fedya. Narodnyy futbolist,6.0,123,125.0,sport
Together: 4-in-a-Row,6.2,63,92.0,sport
The Netflix Slam,7.1,142,150.0,sport
In Inima Nationalei,7.8,199,103.0,sport
The Unbreakable Tatiana Suarez,6.6,171,78.0,sport
Anytime,8.9,20,62.0,sport
Eclipse,9.4,83,79.0,sport
Chong · Zhuang,7.2,17,124.0,sport
Daley,7.8,180,102.0,sport
La valanga azzurra,7.6,10,90.0,sport
Below the Rim,5.0,16,89.0,sport
Ice Cross: Life on the Edge,9.1,13,90.0,sport
V potoke trekh stikhiy,5.2,42,85.0,sport
Ping pang nan hai,7.3,17,108.0,sport
"Hai, Romania!",8.1,421,98.0,sport
A Game of Two Halves,7.3,24,100.0,sport
The Spoils: Selling the Future of American Basketball,6.0,6,87.0,sport
DitO,3.4,12,117.0,sport
Tracing the Divide,8.8,170,84.0,sport
Nos Amours: The Saga of the Montreal Expos,6.2,23,92.0,sport
Gabru Gang,8.7,214,123.0,sport
Quest for the Shield,9.2,12,112.0,sport
Linford,7.3,147,89.0,sport
Take the Steps,8.3,74,83.0,sport
All American,9.6,18,87.0,sport
Graciano Rocchigiani - Das Herz eines Boxers,9.2,51,123.0,sport
UFC 299: O'Malley vs. Vera 2,7.4,80,180.0,sport
Trailblazers,6.8,17,38.0,sport
The Next Centimeter,7.5,35,26.0,sport
Battle of the Baddest,6.1,94,61.0,sport
"Surf on, Europe!",7.8,22,92.0,sport
Golpe a Golpe (Blow by Blow),8.1,23,90.0,sport
UFC 303: Pereira vs. Prochazka 2,6.4,69,195.0,sport
Welcome Back,7.4,5,119.0,sport
UFC 302: Makhachev vs. Poirier,6.7,91,180.0,sport
Faster: Only one lap,7.1,23,90.0,sport
Gyakorlat teszi a mestert,6.1,15,46.0,sport
Hatching Eagles,6.9,23,63.0,sport
UFC 304: Edwards vs. Muhammad 2,6.0,71,200.0,sport
Khapsyhyy,5.5,7,90.0,sport
Triumf,7.3,9,113.0,sport
UFC 297: Strickland vs. du Plessis,6.4,61,180.0,sport
Veljko od mora,7.2,16,53.0,sport
Episodes: Ukraine at the World Cup (2024),8.2,69,79.0,sport
Quote 10.35,8.0,24,35.0,sport
Zlatan Ibrahimovic hyllningsmatch (Sweden vs Serbia),6.6,6,170.0,sport
¡Qué suerte hemos tenido!,7.5,16,62.0,sport
Is University Really Worth It?,5.2,12,60.0,sport
87 Candles,8.9,9,55.0,sport
Twisters,6.5,168000,122.0,Action
Gladiator II,6.5,229000,148.0,Action
Sonic the Hedgehog 3,6.9,59000,110.0,Action
Kraven the Hunter,5.5,55000,127.0,Action
Deadpool & Wolverine,7.6,491000,128.0,Action
Civil War,7.0,237000,109.0,Action
Dune: Part Two,8.5,624000,166.0,Action
The Ministry of Ungentlemanly Warfare,6.8,135000,122.0,Action
Venom: The Last Dance,6.0,117000,110.0,Action
The Beekeeper,6.3,157000,105.0,Action
The Count of Monte-Cristo,7.6,34000,178.0,Action
Freaky Tales,7.2,1200,107.0,Action
Furiosa: A Mad Max Saga,7.5,285000,148.0,Action
Transformers One,7.6,50000,104.0,Action
Carry-On,6.5,165000,119.0,Action
Borderlands,4.7,48000,101.0,Action
Fight or Flight,6.4,7000,97.0,Action
The Fall Guy,6.8,221000,126.0,Action
The Crow,4.7,35000,111.0,Action
Road House,6.2,168000,121.0,Action
Rebel Ridge,6.8,88000,131.0,Action
Pushpa: The Rule - Part 2,6.1,56000,201.0,Action
Madame Web,4.0,101000,116.0,Action
The Lord of the Rings: The War of the Rohirrim,6.3,30000,134.0,Action
Elevation,5.6,22000,91.0,Action
Absolution,5.2,8100,112.0,Action
Bad Boys: Ride or Die,6.5,100000,115.0,Action
Red One,6.3,140000,123.0,Action
Solo Leveling: ReAwakening,8.7,12000,121.0,Action
Love Lies Bleeding,6.6,57000,104.0,Action
Argylle,5.6,93000,139.0,Action
Damsel,6.1,110000,110.0,Action
William Tell,5.7,2500,133.0,Action
The Union,5.4,53000,107.0,Action
Godzilla x Kong: The New Empire,6.0,122000,115.0,Action
Kingdom of the Planet of the Apes,6.9,151000,145.0,Action
Land of Bad,6.6,51000,113.0,Action
Hellboy: The Crooked Man,4.5,13000,99.0,Action
Kung Fu Panda 4,6.3,68000,94.0,Action
Werewolves,4.4,6600,93.0,Action
Homestead,5.3,3600,112.0,Action
Survive,4.5,2500,90.0,Action
Monkey Man,6.8,92000,121.0,Action
Aftermath,5.1,4000,97.0,Action
The Killer's Game,5.8,17000,104.0,Action
The Instigators,6.2,38000,101.0,Action
Beverly Hills Cop: Axel F,6.4,81000,118.0,Action
Lift,5.5,49000,107.0,Action
Gunner,3.2,2700,106.0,Action
Classified,3.7,2500,105.0,Action
Blitz,6.2,16000,120.0,Action
Uglies,4.7,33000,100.0,Action
Maharaja,8.4,67000,141.0,Action
The Killer,5.7,13000,126.0,Action
Old Guy,5.2,2400,94.0,Action
Drive-Away Dolls,5.4,23000,84.0,Action
Attack on Titan the Movie: The Last Attack,9.2,16000,145.0,Action
Thelma,7.0,22000,98.0,Action
Atlas,5.6,56000,118.0,Action
Azrael,5.4,11000,86.0,Action
Descendants: The Rise of Red,4.7,7000,91.0,Action
Arcadian,5.5,23000,92.0,Action
Toofan,7.4,8100,145.0,Action
Watchmen: Chapter I,7.0,6600,83.0,Action
Marco,6.8,21000,145.0,Action
Apocalypse Z: The Beginning of the End,6.1,20000,117.0,Action
Dirty Angels,4.3,3400,104.0,Action
Canary Black,5.3,11000,101.0,Action
Cash Out,4.8,3000,92.0,Action
Trigger Warning,4.6,19000,106.0,Action
Under Paris,5.2,36000,104.0,Action
Kalki 2898 AD,7.0,67000,180.0,Action
Armor,3.5,4000,89.0,Action
Long Gone Heroes,5.2,1100,101.0,Action
Trouble,6.2,6900,98.0,Action
Rebel Moon - Part Two: The Scargiver,5.3,59000,122.0,Action
Jackpot!,5.8,30000,106.0,Action
11 Rebels,6.2,416,155.0,Action
Twilight of the Warriors: Walled In,7.0,9500,126.0,Action
Brothers,5.4,13000,89.0,Action
Amaran,8.1,19000,167.0,Action
The Shadow Strays,6.5,9200,144.0,Action
Duchess,4.6,1400,114.0,Action
The Silent Hour,6.1,7500,99.0,Action
The Fix,4.6,1200,98.0,Action
Red Right Hand,5.5,5900,111.0,Action
Weekend in Taipei,5.7,4700,100.0,Action
Hitpig,5.1,940,86.0,Action
Alien: Rubicon,2.4,343,86.0,Action
Watchmen: Chapter II,7.0,3100,90.0,Action
Hounds of War,4.5,1800,95.0,Action
Harbin,6.2,646,108.0,Action
Fighter,6.2,52000,166.0,Action
Uprising,6.6,5600,126.0,Action
No Way Up,4.6,11000,90.0,Action
Boneyard,4.1,5000,96.0,Action
Role Play,5.5,19000,100.0,Action
Hagen,6.1,1200,139.0,Action
Cloud,6.3,1200,124.0,Action
Damaged,4.7,7300,97.0,Action
Bangkok Dog,4.8,199,85.0,Action
Megamind vs. The Doom Syndicate,2.5,5600,83.0,Action
Chief of Station,4.7,4600,97.0,Action
Take Cover,5.1,2500,90.0,Action
Relay,7.5,108,112.0,Action
The Prosecutor,6.7,1900,117.0,Action
Karma,7.9,1400,167.0,Action
Baby John,5.2,17000,159.0,Action
The Courier,6.0,4400,101.0,Action
Viduthalai Part 2,7.9,16000,170.0,Action
The Thundermans Return,5.0,1800,70.0,Action
Hanu Man,7.7,29000,158.0,Action
Revolver,5.4,866,114.0,Action
Singham Again,4.7,75000,144.0,Action
Justice League: Crisis on Infinite Earths - Part One,6.2,8500,93.0,Action
Baby Invasion,4.6,457,80.0,Action
My Spy: The Eternal City,5.7,11000,112.0,Action
Pusaka,5.2,125,90.0,Action
The Roundup: Punishment,6.6,5300,109.0,Action
Sikandar Ka Muqaddar,6.0,24000,142.0,Action
River of Blood,5.2,1800,86.0,Action
Levels,5.0,1500,93.0,Action
Darkness of Man,4.8,3200,109.0,Action
The Quiet Ones,6.3,691,110.0,Action
One More Shot,5.4,3700,103.0,Action
Zero,6.1,68,88.0,Action
"I, the Executioner",6.4,1700,118.0,Action
Jigra,6.0,24000,153.0,Action
Prey,3.7,3300,86.0,Action
Devara Part 1,6.0,20000,176.0,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1,4500,94.0,Action
Badland Hunters,5.9,12000,107.0,Action
The Last of Us: Immunity,5.3,19,64.0,Action
My Hero Academia: You're Next,7.0,2100,110.0,Action
Aavesham,7.8,28000,155.0,Action
London Calling,7.5,22,109.0,Action
Sunray: Fallen Soldier,4.3,638,115.0,Action
Code 8: Part II,5.7,16000,100.0,Action
Raqa,5.6,215,107.0,Action
Striking Rescue,5.7,420,106.0,Action
Ultraman: Rising,6.9,6400,117.0,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8500,104.0,Action
The Price of Money: A Largo Winch Adventure,5.0,1200,100.0,Action
Dominique,5.3,2200,100.0,Action
The Clean Up Crew,4.1,1200,95.0,Action
Utopia,3.6,363,91.0,Action
Officer Black Belt,6.8,8300,108.0,Action
Mafia Wars,3.4,242,94.0,Action
Air Force One Down,4.4,2900,84.0,Action
Death Whisperer 2,6.4,1400,110.0,Action
Dan Da Dan: First Encounter,8.2,2700,83.0,Action
Joe Baby,7.4,32,86.0,Action
The Wages of Fear,4.6,4100,104.0,Action
Night Call,6.8,2000,97.0,Action
Pani,6.9,3000,143.0,Action
KA,7.1,1600,151.0,Action
Simarik,6.5,2700,111.0,Action
Anaconda,4.9,636,84.0,Action
Cesium Fallout,6.4,705,136.0,Action
Dark Match,5.4,955,94.0,Action
Latency,4.2,2600,94.0,Action
Article 370,7.8,25000,158.0,Action
The Family Star,5.4,5500,159.0,Action
Life After Fighting,6.4,2000,126.0,Action
Kill Em All 2,4.1,1300,88.0,Action
One Fast Move,5.0,2200,108.0,Action
40 Acres,6.8,134,113.0,Action
Rogue Elements: A Ryan Drake Story,4.7,977,44.0,Action
Murder Company,3.7,1600,86.0,Action
Elyas,6.1,1400,105.0,Action
Justice League: Crisis on Infinite Earths - Part Two,5.5,5300,94.0,Action
Bougainvillea,6.4,3200,138.0,Action
200% Wolf,5.9,1300,98.0,Action
Savi,6.1,35000,126.0,Action
Handsome Guys,6.5,845,101.0,Action
Lights Out,4.9,1800,90.0,Action
Rifle Club,7.0,4300,113.0,Action
Angels Fallen: Warriors of Peace,4.9,5800,103.0,Action
The Greatest of All Time,5.7,22000,183.0,Action
Alienoid: The Return to the Future,6.5,2600,122.0,Action
Sixty Minutes,5.7,5200,88.0,Action
City Hunter,6.3,5600,102.0,Action
Vanvaas,6.6,1400,160.0,Action
The Twisters,2.5,340,86.0,Action
Panda Plan,5.1,1300,99.0,Action
Escape,6.4,2000,94.0,Action
Bloody Escape: Bats out of Hell,5.6,48,100.0,Action
The Tiger's Apprentice,5.7,2200,84.0,Action
Arena Wars,4.8,2100,96.0,Action
Sorgavaasal,6.6,1400,138.0,Action
Golden Kamuy,6.3,2600,127.0,Action
Overlord: The Sacred Kingdom,6.9,985,135.0,Action
Saripodhaa Sanivaaram,7.0,9100,166.0,Action
Agent Recon,2.4,677,85.0,Action
All the Lost Ones,3.7,248,106.0,Action
Heart of the Hunter,4.7,2200,105.0,Action
Freedom,5.9,1400,110.0,Action
Khadaan,7.1,2100,137.0,Action
Agni,7.2,15000,122.0,Action
Paradox Effect,6.0,8600,87.0,Action
Operation Blood Hunt,3.5,488,93.0,Action
Wynonna Earp: Vengeance,5.6,1500,96.0,Action
Everybody Loves Jenifa,8.3,88,135.0,Action
The Last Kumite,4.6,2300,105.0,Action
Hijack 1971,6.8,3300,100.0,Action
Bade Miyan Chote Miyan,3.8,39000,163.0,Action
Die Hart 2: Die Harter,4.3,5500,92.0,Action
Outlaw,5.2,933,82.0,Action
Sheriff,6.9,1100,133.0,Action
Kahar: Kapla High Council,6.9,464,102.0,Action
Kanguva,4.5,15000,152.0,Action
How to Rob a Bank,6.6,4200,88.0,Action
Bad Boyz,3.4,680,150.0,Action
Guntur Kaaram,5.4,25000,159.0,Action
Yodha,5.7,8900,130.0,Action
A.R.M,7.1,8700,150.0,Action
Hellhound,4.3,507,103.0,Action
Tales Beyond the Galaxy,4.7,181,76.0,Action
Devil's Knight,5.2,893,90.0,Action
72 Hours,4.1,287,87.0,Action
Nice Girls,4.2,1200,92.0,Action
A Legend,4.7,910,129.0,Action
Black Heat,8.5,119,93.0,Action
Bonnie,7.3,37,120.0,Action
Vettaiyan,7.0,39000,163.0,Action
The Hangman,3.3,1000,92.0,Action
Continental Split,3.6,546,88.0,Action
Chandu Champion,7.8,34000,142.0,Action
Mahadev Ka Gorakhpur,7.6,389,131.0,Action
Fight Another Day,4.9,354,97.0,Action
Wanted Man,4.8,2600,85.0,Action
Ferry 2,5.6,3800,94.0,Action
Ryan's World the Movie: Titan Universe Adventure,1.8,693,80.0,Action
12 to Midnight,3.6,284,96.0,Action
The Last Front,5.5,611,98.0,Action
Bagheera,6.7,7400,158.0,Action
The Lockdown,4.3,611,117.0,Action
WWII: Operation Phoenix,6.2,77,106.0,Action
Alien Country,4.4,364,96.0,Action
Snow White and the Seven Samurai,3.2,298,88.0,Action
War of the Worlds: Extinction,3.0,207,84.0,Action
Raayan,6.5,11000,145.0,Action
The Firefighters,5.7,199,106.0,Action
Thangalaan,6.6,6600,156.0,Action
Drive Back,4.7,320,94.0,Action
Vedaa,6.0,4300,145.0,Action
Cells at Work!,6.7,236,109.0,Action
Rats!,6.5,126,85.0,Action
Jacob Tyler,4.3,59,133.0,Action
Dirty Money,5.6,136,100.0,Action
"Love, Courage and the Battle of Bushy Run",5.0,183,113.0,Action
Bionic,4.3,1700,110.0,Action
Max,7.1,3400,132.0,Action
The Ballad of Davy Crockett,4.6,248,96.0,Action
Mura,7.3,6300,129.0,Action
Auron Mein Kahan Dum Tha,6.5,41000,150.0,Action
Shark Warning,3.4,272,94.0,Action
Terminator: Skynet Rising,6.7,267,88.0,Action
Citizen of a Kind,6.7,826,114.0,Action
Escape from the 21st Century,6.5,887,98.0,Action
Art of Eight Limbs,4.0,316,101.0,Action
Kingdom 4: Return of the Great General,7.1,1300,145.0,Action
Invasion,4.8,681,91.0,Action
Get Fast,3.7,458,88.0,Action
Eagle,5.9,4900,159.0,Action
Mission: Cross,6.1,2600,105.0,Action
Don't Mess with Grandma,6.0,154,81.0,Action
GTMax,5.0,1200,100.0,Action
Bhaiyya Ji,4.8,7400,150.0,Action
School of Magical Animals 3,5.8,315,105.0,Action
Naam,6.3,277,136.0,Action
Virunnu,7.1,888,125.0,Action
The Friendly,8.1,15,101.0,Action
Yolo,6.9,3700,129.0,Action
Operation Undead,4.6,406,110.0,Action
Stuntman,6.9,169,114.0,Action
5 Pounds of Pressure,6.7,16,111.0,Action
Roadkill,3.7,684,90.0,Action
The Bouncer,4.1,91,78.0,Action
Conquer: Lahad Datu,6.6,515,120.0,Action
Cassino in Ischia,4.4,242,113.0,Action
Martin,2.2,36000,147.0,Action
Big City Greens the Movie: Spacecation,6.2,543,83.0,Action
Pimpinero: Blood and Oil,5.6,551,121.0,Action
Tillu Square,6.6,3400,137.0,Action
The Last Ronin,4.9,576,115.0,Action
Hunting with Tigers,5.6,537,109.0,Action
Six jours,6.4,103,95.0,Action
Snatched,4.9,210,101.0,Action
Sons of Rizk 3,6.7,1700,125.0,Action
Warrior Awang and Master Tok Gajah,4.6,476,118.0,Action
Nothing Even Matters,5.5,77,90.0,Action
Taken from Rio Bravo,3.0,315,80.0,Action
Crakk: Jeetega... Toh Jiyegaa,4.7,6500,154.0,Action
No Time to Spy: A Loud House Movie,6.4,449,81.0,Action
American Underdog,8.7,24,89.0,Action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.1,660,174.0,Action
Ka Whawhai Tonu,7.3,179,115.0,Action
Troubleshooters,6.5,417,110.0,Action
I Heart Robots,4.6,2400,76.0,Action
The Charisma Killers,6.2,658,101.0,Action
Yudhra,5.0,13000,142.0,Action
UI,6.8,5700,135.0,Action
Je Jatt Vigarh Gya,5.6,825,132.0,Action
Spiders on a Plane,5.1,372,78.0,Action
The Moon Thieves,6.1,253,108.0,Action
Deaner '89,5.9,419,90.0,Action
Barroz: Guardian of Treasures,3.5,1000,155.0,Action
Nu Huo 12 Xiao Shi,6.1,48,86.0,Action
Non Negotiable,5.4,1200,87.0,Action
Big Rage,3.6,165,115.0,Action
Customs Frontline,5.4,490,115.0,Action
Agents,3.4,934,82.0,Action
Sasan,8.7,72,155.0,Action
Razakar: The Silent Genocide of Hyderabad,7.4,5300,166.0,Action
Tiger's Trigger,4.2,18,84.0,Action
S.T.A.L.K.E.R.: Shadow of the Zone,5.1,469,72.0,Action
Garudan,7.1,3300,133.0,Action
Mongol,8.6,95,155.0,Action
Ghost Killer,7.0,76,105.0,Action
Checkmate,4.3,390,104.0,Action
Rajakili,6.8,585,122.0,Action
Crisis Negotiators,6.7,717,120.0,Action
Baby Assassins: Nice Days,7.3,305,103.0,Action
Lady Scorpions,3.6,368,101.0,Action
The Kingdom,7.9,89,133.0,Action
Mirza: Part 1 - Joker,6.8,241,165.0,Action
Love You to Debt,6.2,759,135.0,Action
Mr. Bachchan,3.6,5300,150.0,Action
The Experts,6.1,279,121.0,Action
Black Creek,7.3,9,116.0,Action
Go for Broke,5.7,272,115.0,Action
Babu,7.4,184,142.0,Action
Eye for an Eye 2,6.6,506,90.0,Action
Crosspoint,6.5,43,100.0,Action
Ayalaan,6.0,4000,155.0,Action
Iron Fighter,3.6,64,80.0,Action
The Day Everything Changed,8.0,80,97.0,Action
Lal Salaam,4.5,1300,150.0,Action
Midas,4.7,340,85.0,Action
Mobile Suit Gundam SEED Freedom,6.6,953,124.0,Action
Paradise,6.9,78,83.0,Action
Rendel: Cycle of Revenge,3.6,245,99.0,Action
(Pri)sons,5.0,273,100.0,Action
Breaking and Re-entering,5.8,443,109.0,Action
The Plot,4.8,382,100.0,Action
Baki Hanma VS Kengan Ashura,5.7,1900,62.0,Action
UmroAyyar - A New Beginning,6.9,675,135.0,Action
Purushothamudu,5.2,2200,120.0,Action
Bidurbhai,9.2,380,148.0,Action
Aserb: The Squadron,5.2,307,120.0,Action
Sikaar,8.3,677,150.0,Action
6 Hours Away,3.9,247,93.0,Action
Kizumonogatari: Koyomi Vamp,7.0,89,144.0,Action
Harom Hara,6.6,3000,154.0,Action
Gandhi 3,5.5,239,143.0,Action
Yuva,5.8,837,153.0,Action
Appudo Ippudo Eppudo,4.7,231,120.0,Action
Hit List,5.5,313,125.0,Action
Road Wars: Max Fury,2.0,350,83.0,Action
Ruslaan,3.3,1200,120.0,Action
Malayalee from India,5.6,5000,160.0,Action
Fighting the Fire,8.5,1700,115.0,Action
Bangkok Breaking: Heaven and Hell,5.8,668,146.0,Action
Star Abyss,3.8,247,86.0,Action
Siren,6.4,2900,154.0,Action
Sabari,6.5,5400,129.0,Action
They Call Her Death,6.8,28,92.0,Action
Bachhala Malli,8.3,3900,140.0,Action
Correr para Vivir,7.0,197,97.0,Action
The Heist,6.9,2000,120.0,Action
Anunnakiler,2.5,452,76.0,Action
First Nights at Freddy's,9.3,16,98.0,Action
Hunt the Wicked,5.3,113,102.0,Action
Malaikottai Vaaliban,6.0,4100,156.0,Action
Bureau 749,4.0,533,123.0,Action
Double Ismart,2.9,2100,156.0,Action
Samandar,7.7,140,172.0,Action
Operation Valentine,5.3,1400,133.0,Action
The Traveller,5.2,208,134.0,Action
Alangu,8.1,1200,131.0,Action
The Actor,3.4,733,128.0,Action
Drive,5.6,333,90.0,Action
Kondal,5.3,774,147.0,Action
Clownface 3,9.0,36,104.0,Action
My Fathers' Daughter,6.7,74,78.0,Action
The Lost Tiger,7.9,45,90.0,Action
Bohurupi,8.3,1400,155.0,Action
The Epidemic,5.7,72,95.0,Action
12 Gaun,6.3,884,147.0,Action
Fyre Rises,6.5,322,110.0,Action
Bhaje Vaayu Vegam,6.1,555,136.0,Action
Shark Island,3.2,115,81.0,Action
Telekinesis,5.9,60,106.0,Action
